date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:48	24/24	---M--	200	added ('OK')	text/plain	etag:%225e71f990-18%22	https://flex-home.botble.com/robots.txt		(from )
19:50:49	28701/28701	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:48%20GMT	https://flex-home.botble.com/	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/index.html	(from )
19:50:49	3110/3110	---M--	200	added ('OK')	image/png	etag:%225e89a36a-c26%22	https://flex-home.botble.com/storage/logo/favicon.png	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/storage/logo/favicon.png	(from https://flex-home.botble.com/)
19:50:49	1886/1886	---MCZ	200	added ('OK')	text/css	etag:W/%225e861caf-75e%22	https://flex-home.botble.com/vendor/core/plugins/language/css/language-public.css	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/vendor/core/plugins/language/css/language-public.css	(from https://flex-home.botble.com/)
19:50:50	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225e861caf-2606e%22	https://flex-home.botble.com/themes/flex-home/libraries/bootstrap/bootstrap.min.v4.css	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/bootstrap/bootstrap.min.v4.css	(from https://flex-home.botble.com/)
19:50:50	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%225e861caf-de0a%22	https://flex-home.botble.com/themes/flex-home/libraries/fontawesome/css/all.min.css	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/fontawesome/css/all.min.css	(from https://flex-home.botble.com/)
19:50:51	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225e861caf-d17%22	https://flex-home.botble.com/themes/flex-home/libraries/owl-carousel/owl.carousel.min.css	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/owl-carousel/owl.carousel.min.css	(from https://flex-home.botble.com/)
19:50:51	1380/1380	---M--	200	added ('OK')	text/css	etag:%225e861caf-564%22	https://flex-home.botble.com/themes/flex-home/libraries/owl-carousel/owl.theme.default.css	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/owl-carousel/owl.theme.default.css	(from https://flex-home.botble.com/)
19:50:51	45510/45510	---MCZ	200	added ('OK')	text/css	etag:W/%225e861caf-b1c6%22	https://flex-home.botble.com/themes/flex-home/css/style.css	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/css/style.css	(from https://flex-home.botble.com/)
19:50:52	88144/88144	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e861caf-15850%22	https://flex-home.botble.com/themes/flex-home/libraries/jquery.min.js	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/jquery.min.js	(from https://flex-home.botble.com/)
19:50:52	21003/21003	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e861caf-520b%22	https://flex-home.botble.com/themes/flex-home/libraries/bootstrap/popper.min.js	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/bootstrap/popper.min.js	(from https://flex-home.botble.com/)
19:50:53	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e861caf-e2d8%22	https://flex-home.botble.com/themes/flex-home/libraries/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/bootstrap/bootstrap.min.js	(from https://flex-home.botble.com/)
19:50:53	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e861caf-ad36%22	https://flex-home.botble.com/themes/flex-home/libraries/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/themes/flex-home/libraries/owl-carousel/owl.carousel.min.js	(from https://flex-home.botble.com/)
19:50:55	4461/4461	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e861cae-116d%22	https://flex-home.botble.com/vendor/core/images/flags/us.svg	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/vendor/core/images/flags/us.svg	(from https://flex-home.botble.com/)
19:50:55	362/362	---MC-	302	error ('Found')	text/html	date:Sun,%2005%20Apr%202020%2012:50:54%20GMT	https://flex-home.botble.com/en/	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/en/index.html	(from https://flex-home.botble.com/)
19:50:55	25996/25996	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:55%20GMT	https://flex-home.botble.com/vi/	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/vi/index.html	(from https://flex-home.botble.com/)
19:50:55	16613/16613	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:55%20GMT	https://flex-home.botble.com/ar/	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/ar/index.html	(from https://flex-home.botble.com/)
19:50:56	25996/25996	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:55%20GMT	https://flex-home.botble.com/vi	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/vi.html	(from https://flex-home.botble.com/)
19:50:56	488/488	---M--	200	added ('OK')	image/svg+xml	etag:%225e861cae-1e8%22	https://flex-home.botble.com/vendor/core/images/flags/vn.svg	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/vendor/core/images/flags/vn.svg	(from https://flex-home.botble.com/)
19:50:57	16613/16613	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:56%20GMT	https://flex-home.botble.com/ar	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/ar.html	(from https://flex-home.botble.com/)
19:50:57	10232/10232	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e861cae-27f8%22	https://flex-home.botble.com/vendor/core/images/flags/sa.svg	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/vendor/core/images/flags/sa.svg	(from https://flex-home.botble.com/)
19:50:58	127719/127719	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:57%20GMT	https://flex-home.botble.com/login	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/login.html	(from https://flex-home.botble.com/)
19:50:58	130052/130052	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:58%20GMT	https://flex-home.botble.com/register	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/register.html	(from https://flex-home.botble.com/)
19:50:58	23910/23910	---M--	200	added ('OK')	image/png	etag:%225e89a36a-5d66%22	https://flex-home.botble.com/storage/logo/logo.png	C:/My%20Web%20Sites/cok/estt/flex-home.botble.com/storage/logo/logo.png	(from https://flex-home.botble.com/)
